,address,city,zip,latitude,longitude,number,street,county,country,population_count,coordinance
145,2770 HWY 50 SOUTH,GRAND JUNCTION,81503,39.03974,-108.53996000000001,2770,Hwy 50,Mesa County,US,1132.0,"(39.03974, -108.53996000000001)"
146,128 S TOWNSEND,MONTROSE,81401,38.476816,-107.87758500000001,128,S Townsend Ave,Montrose County,US,572.0,"(38.476816, -107.87758500000001)"
147,508 E MAIN,CORTEZ,81321,37.349236,-108.578129,508,E Main St,Montezuma County,US,1132.0,"(37.349236, -108.578129)"
148,135 S PLUM STREET,FRUITA,81521,39.157752,-108.73522700000001,135,S Plum St,Mesa County,US,814.0,"(39.157752, -108.73522700000001)"
149,1825 CENTRAL PARK DR,STEAMBOAT SPRINGS,80487,40.462229,-106.82015700000001,1825,Central Park Dr,Routt County,US,1600.0,"(40.462229, -106.82015700000001)"
150,505 W VICTORY,CRAIG,81625,40.514677,-107.55373700000001,505,Victory Way W,Moffat County,US,534.0,"(40.514677, -107.55373700000001)"
151,1703 FREMONT,CANON CITY,81212,38.448545,-105.223932,1703,Fremont Dr,Fremont County,US,892.0,"(38.448545, -105.223932)"
152,880 N MAIN,GUNNISON,81230,38.553236,-106.925542,880,N Main St,Gunnison County,US,1815.0,"(38.553236, -106.925542)"
153,3130 MAIN AVE,DURANGO,81301,37.299903,-107.870101,3130,Main Ave,La Plata County,US,1238.0,"(37.299903, -107.870101)"
154,569 32 RD,GRAND JUNCTION,81504,39.085794,-108.45966100000001,569,32nd Rd,Mesa County,US,1333.0,"(39.085794, -108.45966100000001)"
155,103 MARKET ST,EAGLE,81631,39.662678,-106.826057,103,Market St,Eagle County,US,882.0,"(39.662678, -106.826057)"
156,1051 HWY 133,CARBONDALE,81623,39.400532,-107.21946399999999,1051,State Hwy 133,Garfield County,US,1110.0,"(39.400532, -107.21946399999999)"
157,438 S HWY 24,BUENA VISTA,81211,38.845617,-106.13480700000001,438,US Hwy 24,Chaffee County,US,1245.0,"(38.845617, -106.13480700000001)"
158,16400 S TOWNSEND,MONTROSE,81401,38.453076,-107.86485,16400,S Townsend Ave,Montrose County,US,1207.0,"(38.453076, -107.86485)"
159,850 CASTLE VALLEY BLVD,NEW CASTLE,81647,39.568443,-107.51401000000001,850,Castle Valley Blvd,Garfield County,US,2988.0,"(39.568443, -107.51401000000001)"
160,2600 N 12TH ST,GRAND JUNCTION,81501,39.090915,-108.55197700000001,2600,N 12th St,Mesa County,US,3014.0,"(39.090915, -108.55197700000001)"
161,200 COUNTRY CENTER DRIVE,PAGOSA SPGS,81147,37.256453,-107.074804,230,Country Center Dr,Archuleta County,US,2352.0,"(37.256453, -107.074804)"
162,1001 THOMPSON RD,GRANBY,80446,40.062712,-105.928894,1001,Thompson Rd,Grand County,US,2073.0,"(40.062712, -105.928894)"
163,4001 N COLORADO BLVD,DENVER,80216,39.773233000000005,-104.941249,4001,N Colorado Blvd,Denver County,US,864.0,"(39.773233000000005, -104.941249)"
164,2636 US HIGHWAY 24,FLORISSANT,80816,38.945549,-105.29203899999999,2636,W US 24,Teller County,US,1426.0,"(38.945549, -105.29203899999999)"
165,3142 EVERGREEN PKWY,EVERGREEN,80439,39.658713,-105.350632,3142,Evergreen Pkwy,Jefferson County,US,1223.0,"(39.658713, -105.350632)"
166,597 MAIN ST,WALDEN,80480,40.728615000000005,-106.28196000000001,597,Main St,Jackson County,US,638.0,"(40.728615000000005, -106.28196000000001)"
