Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Pick 3,7-ELEVEN #25740C,18883 E HAMPDEN AVE,AURORA,80013,114,"$50,490"
Pick 3,7-ELEVEN #25794B,1685 JET WING DR,COLORADO SPRINGS,80916,109,"$40,030"
Pick 3,7-ELEVEN #25823B,7201 LOWELL BLVD,WESTMINSTER,80030,30,"$11,490"
Pick 3,7-ELEVEN #25902A,1904 W UINTAH,COLORADO SPRINGS,80904,30,"$14,390"
Pick 3,7-ELEVEN #25907B,3200 E 45TH AVE,DENVER,80216,10,"$3,470"
Pick 3,7-ELEVEN #26137,95 SHERIDAN,LAKEWOOD,80226,56,"$26,970"
Pick 3,7-ELEVEN #26289A,2500 E 88TH,THORNTON,80229,4,"$1,380"
Pick 3,7-ELEVEN #26292A,825 N NEVADA,COLORADO SPRINGS,80903,20,"$8,140"
Pick 3,7-ELEVEN #26295J,1426 N ACADEMY,COLORADO SPRINGS,80909,27,"$10,970"
Pick 3,7-ELEVEN #26574A,13190 E MISSISSIPPI,AURORA,80012,23,"$8,580"
Pick 3,7-ELEVEN #26644B,1801 E PLATTE AVE,COLORADO SPRINGS,80909,42,"$15,940"
Pick 3,7-ELEVEN #26682A,14593 E MISSISSIPPI,AURORA,80012,53,"$15,880"
Pick 3,7-ELEVEN #26683B,2025 B STREET,COLORADO SPRINGS,80906,36,"$13,580"
Pick 3,7-ELEVEN #26692A,5805 PALMER PARK BLVD,COLORADO SPRINGS,80915,27,"$9,490"
Pick 3,7-ELEVEN #26693B,3740 RANDALL DR,COLORADO SPRINGS,80920,115,"$50,980"
Pick 3,7-ELEVEN #26788D,503 S NEVADA,COLORADO SPRINGS,80903,41,"$14,770"
Pick 3,7-ELEVEN #26803B,2800 S COLLEGE AVE,FORT COLLINS,80525,23,"$10,700"
Pick 3,7-ELEVEN #26927B,1600 S LEMAY,FORT COLLINS,80525,10,"$3,440"
Pick 3,7-ELEVEN #26933A,970 W HORSETOOTH,FORT COLLINS,80526,3,$830
Pick 3,7-ELEVEN #27022A,650 E 64TH AVE,DENVER,80229,46,"$16,500"
Pick 3,7-ELEVEN #27033B,5595 S BROADWAY,LITTLETON,80121,20,"$6,600"
Pick 3,7-ELEVEN #27043B,820 SIMMS ST #8,GOLDEN,80401,16,"$5,210"
Pick 3,7-ELEVEN #27067B,3990 E 35TH AVENUE,DENVER,80205,75,"$27,220"
Pick 3,7-ELEVEN #27082A,450 N MURRAY BL,COLORADO SPRINGS,80916,39,"$15,000"
Pick 3,7-ELEVEN #27211A,15511 E 6TH AVE,AURORA,80011,27,"$8,440"
Pick 3,7-ELEVEN #27213B,16601 E SMOKEY HILL RD,AURORA,80015,30,"$14,990"
Pick 3,7-ELEVEN #27238B,8378 N SHERIDAN,WESTMINSTER,80003,8,"$2,490"
Pick 3,7-ELEVEN #27429C,1850 S SHERIDAN,LAKEWOOD,80232,19,"$6,780"
Pick 3,7-ELEVEN #27620A,303 SANTA FE DR,DENVER,80223,4,"$2,080"
Pick 3,7-ELEVEN #29024A,880 S BUCKLEY RD,AURORA,80017,61,"$19,760"
Pick 3,7-ELEVEN #29108A,4701 PEORIA ST,DENVER,80239,79,"$34,020"
Pick 3,7-ELEVEN #29151A,2299 W ALAMEDA,DENVER,80223,12,"$4,110"
Pick 3,7-ELEVEN #29203A,1000 FEDERAL,DENVER,80204,17,"$7,400"
Pick 3,7-ELEVEN #29314A,10410 MELODY DR,NORTHGLENN,80234,35,"$19,290"
Pick 3,7-ELEVEN #29420A,1301 W 38TH ST,DENVER,80211,4,"$1,330"
Pick 3,7-ELEVEN #29508C,3131 S BROADWAY,ENGLEWOOD,80113,8,"$5,030"
Pick 3,7-ELEVEN #32159C,623 W GARDEN OF GODS RD,COLORADO SPRINGS,80907,12,"$5,330"
Pick 3,7-ELEVEN #32267B,10992 STATE HWY 9,BRECKENRIDGE,80424,71,"$35,310"
Pick 3,7-ELEVEN #32276B,6600 S COLLEGE,FORT COLLINS,80525,21,"$12,110"
Pick 3,7-ELEVEN #32386A,4710 CENTENNIAL BLVD,COLORADO SPRINGS,80919,12,"$3,630"
Pick 3,7-ELEVEN #32646K,4605 AUSTIN BLUFFS PKWY,COLORADO SPRINGS,80918,63,"$22,540"
Pick 3,7-ELEVEN #32673A,1446 N 95TH,LAFAYETTE,80026,11,"$4,400"
Pick 3,7-ELEVEN #32747C,6025 CONSTITUTION AVE,COLORADO SPRINGS,80915,156,"$59,060"
Pick 3,7-ELEVEN #32809B,10128 WADSWORTH PKWY,BROOMFIELD,80021,48,"$17,440"
Pick 3,7-ELEVEN #32810A,4500 PEORIA ST,DENVER,80239,92,"$43,580"
